userid,country,state,county,city
USER_33992345,United States of America,Missouri,Boone,Columbia
USER_e3ce1c03,United States of America,Indiana,Monroe County,Bloomington
USER_eb1c7bd4,United States of America,Maryland,Prince George's,Greater Upper Marlboro
USER_df8223ed,United States of America,New York,Kings,NYC
USER_7c02342f,United States of America,Connecticut,Hartford,Hartford
USER_73dcbc65,United States of America,New York,Bronx County,NYC
USER_cc945dff,United States of America,Georgia,Chattooga,UKN
USER_d3c3c3d8,United States of America,Indiana,Delaware,Muncie
USER_3bdf8a02,United States of America,California,Los Angeles County,UKN
USER_914fc737,United States of America,Alabama,Baldwin,Daphne
USER_d253738c,United States of America,Connecticut,Fairfield,Danbury
USER_56a9bd0a,United States of America,Texas,Bexar County,San Antonio
USER_c5e85528,United States of America,New York,Suffolk,Dix Hills
USER_0dd20b3c,United States of America,New York,Kings,NYC
USER_37d9b8a2,United States of America,California,Los Angeles,UKN
USER_8c7f3805,United States of America,Wisconsin,Milwaukee County,Milwaukee
USER_52a8a16f,United States of America,California,Los Angeles County,Hawthorne
USER_2df5af28,United States of America,Pennsylvania,Montgomery County,UKN
USER_f05d5c0e,United States of America,California,San Bernardino County,Victorville
USER_fd3e7cfd,United States of America,Pennsylvania,Philadelphia County,Philadelphia
USER_0ccdd31f,United States of America,New York,Nassau,North Valley Stream
USER_c79cc0cb,United States of America,North Carolina,Guilford,Greensboro
USER_e1f970c0,United States of America,New York,Richmond,NYC
USER_bcd21bd4,United States of America,Michigan,Kalamazoo,UKN
USER_c3e6302b,United States of America,New York,New York,NYC
USER_fdb4ab04,United States of America,Kansas,Thomas,Colby
USER_b719638a,United States of America,Virginia,Albemarle,UKN
USER_b832b415,United States of America,New York,Kings County,NYC
USER_81232ed5,United States of America,Maryland,Baltimore,Baltimore
USER_877c2046,United States of America,California,Los Angeles,UKN
USER_92c24dcb,United States of America,Pennsylvania,Philadelphia County,Philadelphia
USER_c71cf9c6,United States of America,Ohio,Hamilton County,Cincinnati
USER_8fc149c2,United States of America,New York,Queens County,NYC
USER_2c2c3c1b,United States of America,New York,New York,NYC
USER_7913d867,United States of America,Florida,Leon County,Tallahassee
USER_53adb7f8,United States of America,Arizona,Maricopa County,Phoenix
USER_8b91dc5c,United States of America,New York,Nassau,East Massapequa
USER_db424608,United States of America,New York,Kings County,NYC
USER_217a29ad,United States of America,Georgia,Fulton County,Atlanta
USER_a109f686,United States of America,Virginia,Chesterfield,UKN
USER_bafa51ba,United States of America,New York,Kings,NYC
USER_06c39ff8,United States of America,New Jersey,Burlington,Willingboro Township
USER_493d06fa,United States of America,Texas,Harris,UKN
USER_f57d2451,United States of America,Florida,Broward County,Davie
USER_6496238c,United States of America,Florida,Seminole County,Altamonte Springs
USER_a2eac550,Canada,Ontario,UKN,Toronto
USER_3998f7c7,United States of America,New York,Nassau,New Cassel
USER_32136f9c,United States of America,Mississippi,Hinds County,Jackson
USER_c56264c0,United States of America,Georgia,Columbia,UKN
USER_08873dd4,Canada,Ontario,UKN,Toronto
USER_43533f4a,United States of America,New York,Queens County,NYC
USER_7200df41,United States of America,New York,Kings County,NYC
USER_70fa2627,United States of America,New York,Queens County,NYC
USER_e39e3529,United States of America,New York,Kings,NYC
USER_461aadba,United States of America,Louisiana,Jefferson,Harvey
USER_7be2032a,United States of America,Georgia,Fulton County,Atlanta
USER_d89d9039,United States of America,New York,Bronx County,NYC
USER_7f5debdb,United States of America,Virginia,Norfolk (city),Norfolk
USER_7a29df50,United States of America,Maryland,Baltimore,Baltimore
USER_a868fd4f,United States of America,Michigan,Washtenaw,Ann Arbor
USER_ee42492c,United States of America,New York,Queens County,NYC
USER_f5c7cb2d,United States of America,Florida,Broward County,Margate
USER_aefbdb37,United States of America,Maryland,Washington,UKN
USER_f0c113f0,United States of America,Rhode Island,Providence,Providence
USER_04f1dff9,United States of America,New York,Queens County,NYC
USER_6d01153e,United States of America,New York,New York,NYC
USER_8ff0f712,United States of America,Massachusetts,Worcester County,Leominster
USER_1bed7df3,United States of America,New Jersey,Hudson County,Jersey City
USER_280d4285,United States of America,New York,Kings,NYC
USER_bbcbaa46,United States of America,Delaware,New Castle County,Wilmington
USER_dd6f9616,United States of America,California,Contra Costa County,Antioch
USER_31c3b3da,United States of America,California,San Mateo County,San Mateo
USER_177928e5,United States of America,Nevada,Humboldt County,Winnemucca
USER_9e2a75a0,United States of America,Florida,Broward County,Pembroke Pines
USER_18c1d5c8,United States of America,New York,New York,NYC
USER_cea93805,United States of America,Florida,Volusia County,Port Orange
USER_157578d4,United States of America,New York,Bronx County,NYC
USER_251d06ba,United States of America,New York,Kings,NYC
USER_03edac78,United States of America,California,Los Angeles,Manhattan Beach
USER_cab6b654,United States of America,California,Contra Costa,Antioch
USER_f460b31d,United States of America,Ohio,Franklin County,Columbus
USER_69d39239,United States of America,Tennessee,Wilson,UKN
USER_1c6dc099,United States of America,Tennessee,Shelby,Memphis
USER_a0372407,United States of America,Georgia,Richmond,UKN
USER_d8cb0bc9,United States of America,New York,New York,NYC
USER_4a0c3456,United States of America,California,Los Angeles,L.A.
USER_a9f4a0e4,United States of America,Florida,Miami-Dade County,Opa-locka
USER_6b176336,United States of America,New York,New York,NYC
USER_6e7b935d,United States of America,South Carolina,Spartanburg County,UKN
USER_35959dc8,United States of America,Virginia,Petersburg (city),Petersburg
USER_c328a1f2,United States of America,California,Riverside County,Riverside
USER_6ad35466,United States of America,Georgia,Fulton County,Atlanta
USER_8a2fe428,United States of America,Georgia,Fulton County,Atlanta
USER_6ada07aa,United States of America,New York,Bronx County,NYC
USER_69445aba,United States of America,New York,Kings,NYC
USER_4daa2ee9,United States of America,Alabama,Jefferson,UKN
USER_1f43c295,United States of America,Virginia,Henrico,UKN
USER_bb078d6f,United States of America,Georgia,Dougherty,Albany
USER_4732900f,United States of America,Alabama,Madison,UKN
USER_41bd66f0,United States of America,New York,Queens County,NYC
USER_510f6eb9,United States of America,Illinois,Cook,Homewood
USER_5b9ec014,United States of America,New York,Kings,NYC
USER_592ab321,United States of America,New York,Nassau,Roosevelt
USER_9f5033cf,United States of America,Virginia,Petersburg (city),Petersburg
USER_2b8cc9d9,United States of America,Michigan,Mecosta,UKN
USER_f7bb3b21,United States of America,Colorado,Yuma,UKN
USER_7f1e77f9,United States of America,North Carolina,Guilford County,Greensboro
USER_a3792cac,United States of America,Florida,Polk County,UKN
USER_eded4415,United States of America,California,Los Angeles County,West Hollywood
USER_0d99b957,United States of America,North Carolina,Mecklenburg County,Charlotte
USER_d9d58bc8,United States of America,North Carolina,Mecklenburg,UKN
USER_869a6bb0,United States of America,Florida,Hillsborough County,UKN
USER_7389ebaa,United States of America,California,Sacramento,Sacramento
USER_a9fa17a9,United States of America,New Jersey,Essex,UKN
USER_27a747ce,United States of America,New York,Bronx County,NYC
USER_1102d22f,United States of America,Florida,Leon County,Tallahassee
USER_1c420db6,United States of America,Tennessee,Shelby,Memphis
USER_d6de6f75,United States of America,New York,Kings,NYC
